Street,City,County,State,Zipcode,Price,WalkScore,Bike_Score,Beds,Bath,Sqft,Property_Type,Year_Built,Status
5514 amaryllis dr,Pollock pines,El-Dorado-County,Ca,95726,745000.0,0.0,0.0,4.0,3.0,2613.0,Single family residential,1988.0,Active
4080 shoemaker rd,Georgetown,El-Dorado-County,Ca,95634,219000.0,0.0,0.0,1.0,1.0,840.0,Single family residential,2006.0,Active
6381 salmon falls rd,Pilot hill,El-Dorado-County,Ca,95664,1714900.0,0.0,0.0,4.0,3.5,3799.0,Multi-family (2-4 unit),2008.0,Active
1133 elm ave,Placerville,El-Dorado-County,Ca,95667,489000.0,54.0,39.0,1.0,1.0,1069.0,Single family residential,1948.0,Active
3167 lake ave,Georgetown,El-Dorado-County,Ca,95634,359900.0,0.0,0.0,3.0,2.0,1480.0,Single family residential,1965.0,Active
105 chardin pl,El dorado hills,El-Dorado-County,Ca,95762,1875000.0,1.0,24.0,4.0,4.5,4102.0,Single family residential,2017.0,Active
2933 forebay rd #17,Pollock pines,El-Dorado-County,Ca,95726,44900.0,51.0,16.0,2.0,1.0,672.0,Mobile/manufactured home,2007.0,Active
2213 acorn ridge ct,Folsom,El-Dorado-County,Ca,95630,930000.0,3.0,38.0,4.0,2.5,2462.0,Single family residential,2004.0,Active
3192 graybar mine rd,Garden valley,El-Dorado-County,Ca,95633,469000.0,0.0,0.0,3.0,2.0,1420.0,Single family residential,1962.0,Active
4291 patterson dr #21,Diamond springs,El-Dorado-County,Ca,95619,295000.0,10.0,21.0,2.0,1.5,1062.0,Condo,1985.0,Active
Undisclosed address,Placerville,El-Dorado-County,Ca,95667,470000.0,8.0,11.0,3.0,1.0,3300.0,Multi-family (2-4 unit),1958.0,Active
4330 panorama dr #3,Placerville,El-Dorado-County,Ca,95667,70000.0,3.0,6.0,1.0,1.0,640.0,Mobile/manufactured home,2018.0,Active
3250 airport rd,Placerville,El-Dorado-County,Ca,95667,399950.0,4.0,1.0,3.0,2.0,2200.0,Single family residential,1989.0,Active
1910 urban retreat ln,Cool,El-Dorado-County,Ca,95614,659000.0,0.0,0.0,4.0,3.0,2200.0,Mobile/manufactured home,1999.0,Active
1521 zapotec dr,South lake tahoe,El-Dorado-County,Ca,96150,798000.0,4.0,43.0,5.0,3.0,2232.0,"Residential, single family",1975.0,Active
3062 e calypso cir,El dorado hills,El-Dorado-County,Ca,95762,915000.0,20.0,30.0,3.0,3.5,2955.0,Single family residential,2019.0,Active
4080 greenwood rd,Garden valley,El-Dorado-County,Ca,95633,349900.0,0.0,16.0,4.0,2.0,2200.0,Single family residential,1947.0,Active
3775 park dr,El dorado hills,El-Dorado-County,Ca,95762,560000.0,43.0,26.0,2.0,2.0,1761.0,Single family residential,2001.0,Active
2439 sammy ct,Rescue,El-Dorado-County,Ca,95672,535000.0,4.0,2.0,3.0,2.0,1290.0,Single family residential,1971.0,Active
176 sherman ct,El dorado hills,El-Dorado-County,Ca,95762,1167990.0,0.0,13.0,5.0,4.5,3276.0,Single family residential,2022.0,Active
168 sherman ct,El dorado hills,El-Dorado-County,Ca,95762,1091990.0,0.0,13.0,3.0,3.5,2508.0,Single family residential,2022.0,Active
1001 trapani ln,El dorado hills,El-Dorado-County,Ca,95762,1063990.0,56.0,30.0,3.0,2.5,2888.0,Single family residential,2022.0,Active
1005 trapani ln,El dorado hills,El-Dorado-County,Ca,95762,1214240.0,42.0,29.0,5.0,4.5,3762.0,Single family residential,2022.0,Active
628 lincoln ct,El dorado hills,El-Dorado-County,Ca,95762,1325450.0,16.0,20.0,5.0,3.5,4041.0,Single family residential,2022.0,Active
8341 martinique ln,El dorado hills,El-Dorado-County,Ca,95762,693990.0,7.0,26.0,2.0,2.5,1712.0,Single family residential,2022.0,Active
8342 martinique ln,El dorado hills,El-Dorado-County,Ca,95762,701990.0,7.0,26.0,3.0,3.0,1784.0,Single family residential,2022.0,Active
8334 martinique ln,El dorado hills,El-Dorado-County,Ca,95762,683990.0,7.0,26.0,3.0,2.5,1642.0,Single family residential,2022.0,Active
8177 benevento dr,El dorado hills,El-Dorado-County,Ca,95762,1230990.0,4.0,1.0,4.0,3.5,3279.0,Single family residential,2022.0,Active
193 sherman ct,El dorado hills,El-Dorado-County,Ca,95762,906990.0,0.0,13.0,3.0,3.5,2508.0,Single family residential,2022.0,Active
2904 tierra de dios dr,El dorado hills,El-Dorado-County,Ca,95762,1270990.0,0.0,1.0,4.0,3.5,2527.0,Single family residential,2022.0,Active
627 lincoln ct,El dorado hills,El-Dorado-County,Ca,95762,1314216.0,16.0,20.0,5.0,3.5,4041.0,Single family residential,2022.0,Active
8312 martinique ln,El dorado hills,El-Dorado-County,Ca,95762,691990.0,7.0,26.0,2.0,2.5,1712.0,Single family residential,2022.0,Active
8325 martinique ln,El dorado hills,El-Dorado-County,Ca,95762,700990.0,7.0,26.0,3.0,3.0,1784.0,Single family residential,2022.0,Active
6387 mother lode dr #104,Placerville,El-Dorado-County,Ca,95667,44000.0,4.0,14.0,2.0,1.5,720.0,Mobile/manufactured home,1971.0,Active
2556 palmira ave,South lake tahoe,El-Dorado-County,Ca,96150,989999.0,75.0,95.0,4.0,2.5,3436.0,Single family home,1980.0,Active
4880 rivendale rd,Placerville,El-Dorado-County,Ca,95667,769000.0,1.0,0.0,7.0,3.0,2692.0,Single family residential,1979.0,Active
2285 cedarville rd,Somerset,El-Dorado-County,Ca,95684,395000.0,0.0,0.0,3.0,2.0,2050.0,Single family residential,2005.0,Active
557 cochise cir,South lake tahoe,El-Dorado-County,Ca,96150,1628000.0,0.0,28.0,4.0,3.0,2788.0,"Residential, single family",1998.0,Active
3002 sherman way,El dorado hills,El-Dorado-County,Ca,95762,941990.0,0.0,13.0,3.0,3.0,2005.0,Single family residential,2022.0,Active
3679 larch ave,South lake tahoe,El-Dorado-County,Ca,96150,524000.0,71.0,79.0,1.0,1.0,384.0,"Residential, single family",1947.0,Active
2838 hocking st,Placerville,El-Dorado-County,Ca,95667,494900.0,48.0,44.0,5.0,3.0,1600.0,Single family residential,1956.0,Active
2502 sweet creek ln,Rescue,El-Dorado-County,Ca,95672,929000.0,0.0,5.0,3.0,2.5,2221.0,Single family residential,1990.0,Active
2451 kingsgate rd,Placerville,El-Dorado-County,Ca,95667,1800000.0,1.0,0.0,3.0,2.0,2787.0,Single family residential,1956.0,Active
4066 greenview dr,El dorado hills,El-Dorado-County,Ca,95762,1650000.0,0.0,13.0,4.0,3.0,4154.0,Single family residential,1997.0,Active
1354 lila ln,Rescue,El-Dorado-County,Ca,95672,350000.0,0.0,0.0,2.0,1.0,648.0,Mobile/manufactured home,2004.0,Active
3310 saint ives ct,Shingle springs,El-Dorado-County,Ca,95682,1100000.0,5.0,22.0,3.0,2.5,3057.0,Single family residential,1989.0,Active
6937 benevento dr,El dorado hills,El-Dorado-County,Ca,95762,1425990.0,5.0,1.0,4.0,3.5,3279.0,Single family residential,2021.0,Active
3035 salt wash way,El dorado hills,El-Dorado-County,Ca,95762,982226.0,16.0,20.0,4.0,3.5,3295.0,Single family residential,2021.0,Active
637 lincoln ct,El dorado hills,El-Dorado-County,Ca,95762,1128308.0,16.0,20.0,4.0,3.5,3295.0,Single family residential,2021.0,Active
5681 gold leaf ln,Placerville,El-Dorado-County,Ca,95667,1129000.0,0.0,0.0,4.0,4.5,3350.0,Single family residential,1976.0,Active
2492 palmira ave,South lake tahoe,El-Dorado-County,Ca,96150,795000.0,71.0,88.0,6.0,3.5,2436.0,"Multi-family, triplex",1947.0,Active
1201 kathy ln,Placerville,El-Dorado-County,Ca,95667,839900.0,0.0,0.0,4.0,3.0,2902.0,Single family residential,1979.0,Active
3261 topaz,Cameron park,El-Dorado-County,Ca,95682,533000.0,28.0,20.0,3.0,3.0,2176.0,Townhouse,1948.0,Active
5730 connie ln,Shingle springs,El-Dorado-County,Ca,95682,559999.0,0.0,0.0,3.0,2.0,1890.0,Mobile/manufactured home,2005.0,Active
856 stateline ave,South lake tahoe,El-Dorado-County,Ca,96150,795000.0,49.0,65.0,1.0,1.0,567.0,Single family residential,1934.0,Active
5561 waterfall trl,Greenwood,El-Dorado-County,Ca,95635,599000.0,0.0,0.0,4.0,3.0,2100.0,Single family residential,1989.0,Active
1941 tegra rd,Cool,El-Dorado-County,Ca,95614,499999.0,0.0,8.0,3.0,2.0,1715.0,Single family residential,1962.0,Active
2338 washington ave,South lake tahoe,El-Dorado-County,Ca,96150,739000.0,36.0,68.0,3.0,2.0,1541.0,"Residential, single family",1963.0,Active
20677 us highway 50,Little norway,El-Dorado-County,Ca,96150,450000.0,0.0,3.0,3.0,2.5,750.0,"Residential, single family",1921.0,Active
1555 sand ridge rd,El dorado,El-Dorado-County,Ca,95623,698500.0,0.0,0.0,3.0,2.0,1716.0,Single family residential,2001.0,Active
1237 san diego st,South lake tahoe,El-Dorado-County,Ca,96150,750000.0,35.0,62.0,5.0,2.0,2240.0,"Residential, single family",1959.0,Active
3656 hampton ct,Cameron park,El-Dorado-County,Ca,95682,673000.0,22.0,16.0,3.0,2.0,1905.0,Single family residential,1980.0,Active
7701 dorado canyon rd,Somerset,El-Dorado-County,Ca,95684,719000.0,0.0,7.0,3.0,2.0,2452.0,Mobile/manufactured home,1992.0,Active
6261 brinkwood ln,Somerset,El-Dorado-County,Ca,95684,2399000.0,0.0,0.0,5.0,4.0,3135.0,Single family residential,1985.0,Active
2480 alma ave,South lake tahoe,El-Dorado-County,Ca,96150,440000.0,48.0,53.0,2.0,1.0,816.0,"Residential, single family",1964.0,Active
1080 julie ln #52,South lake tahoe,El-Dorado-County,Ca,96150,185000.0,41.0,51.0,2.0,2.0,1000.0,"Residential, mobile home",2020.0,Active
6016 pony express trl,Pollock pines,El-Dorado-County,Ca,95726,799000.0,30.0,10.0,2.0,1.5,3254.0,Single family home,1970.0,Active
6360 dean rd,Somerset,El-Dorado-County,Ca,95684,300000.0,0.0,0.0,2.0,1.0,1344.0,Mobile/manufactured home,1972.0,Active
3738 springer rd,Placerville,El-Dorado-County,Ca,95667,975000.0,0.0,0.0,2.0,2.5,3511.0,Multi-family (2-4 unit),1985.0,Active
3144 fain ln,Georgetown,El-Dorado-County,Ca,95634,385000.0,6.0,6.0,2.0,1.5,960.0,Single family residential,1980.0,Active
7013 pioneer dr,Grizzly flats,El-Dorado-County,Ca,95636,349000.0,0.0,12.0,3.0,1.0,1384.0,Single family residential,1973.0,Active
7691 wentworth springs rd,Georgetown,El-Dorado-County,Ca,95634,399000.0,3.0,1.0,3.0,2.0,1408.0,Single family residential,1964.0,Active
3516 ryan dr,Diamond springs,El-Dorado-County,Ca,95619,625000.0,14.0,23.0,4.0,3.0,2492.0,Single family residential,1995.0,Active
2428 pickering ct,Cool,El-Dorado-County,Ca,95614,545000.0,0.0,0.0,3.0,2.5,2008.0,Single family residential,1983.0,Pending - bring backup
2055 12th st,South lake tahoe,El-Dorado-County,Ca,96150,525000.0,42.0,51.0,2.0,1.0,1004.0,Condo,1995.0,Active
1426 w weldon ave,Fresno,Fresno-County,Ca,93705,255000.0,53.0,55.0,2.0,1.0,895.0,Residential,1951.0,Active
1515 s 3rd st,Fresno,Fresno-County,Ca,93702,199200.0,62.0,58.0,2.0,1.0,768.0,Residential,1923.0,Active
5362 e orleans ave,Fresno,Fresno-County,Ca,93727,789970.0,13.0,30.0,4.0,3.5,3820.0,Residential,2006.0,Active
5742 e lorena ave,Fresno,Fresno-County,Ca,93727,540000.0,1.0,40.0,5.0,2.5,2157.0,Residential,2001.0,Active
2544 sample ave,Clovis,Fresno-County,Ca,93611,389900.0,3.0,30.0,3.0,2.0,1478.0,Residential,1987.0,Active
2577 s 11th st,Fresno,Fresno-County,Ca,93725,289000.0,50.0,62.0,3.0,1.75,1290.0,Residential,1928.0,Active
823 e goshen ave,Fresno,Fresno-County,Ca,93720,395000.0,61.0,70.0,3.0,2.0,1797.0,Residential,1986.0,Active
4300 oak st,Firebaugh,Fresno-County,Ca,93622,405000.0,6.0,26.0,4.0,3.0,2558.0,Residential,2007.0,Active
129 e peralta way,Fresno,Fresno-County,Ca,93704,385000.0,60.0,80.0,2.0,1.0,1675.0,Residential,1936.0,Active
4860 e amherst ave,Fresno,Fresno-County,Ca,93703,324900.0,30.0,68.0,3.0,2.0,1308.0,Single family residence,1955.0,Active
5533 e holland ave,Fresno,Fresno-County,Ca,93727,499999.0,46.0,68.0,4.0,3.0,2966.0,Residential,1957.0,Active
4669 n fresno st,Fresno,Fresno-County,Ca,93726,299900.0,74.0,62.0,3.0,2.0,1092.0,Single family residence,1955.0,Active
2504 woodworth ave,Clovis,Fresno-County,Ca,93612,325000.0,70.0,74.0,3.0,2.0,1666.0,Residential,1956.0,Active
696 richmond ave,Clovis,Fresno-County,Ca,93619,899000.0,8.0,52.0,5.0,3.0,3654.0,Residential,2003.0,Active
1016 e gettysburg ave,Fresno,Fresno-County,Ca,93704,689000.0,48.0,43.0,3.0,2.0,2309.0,Residential,1960.0,Active
1552 birch ave,Clovis,Fresno-County,Ca,93611,425000.0,41.0,55.0,3.0,2.0,1550.0,Residential,1993.0,Active
427 w twain ave,Fresno,Fresno-County,Ca,93612,335000.0,69.0,66.0,3.0,2.0,1308.0,Residential,1960.0,Active
151 n pollasky ave,Clovis,Fresno-County,Ca,93612,300000.0,49.0,70.0,3.0,1.0,990.0,Residential,1955.0,Active
1250 e vassar ave,Fresno,Fresno-County,Ca,93704,532000.0,75.0,72.0,7.0,3.0,2528.0,Multi family,1980.0,Active
1802 san gabriel ave,Clovis,Fresno-County,Ca,93611,439900.0,61.0,47.0,3.0,2.0,1908.0,Residential,1979.0,Active
2312 e fedora ave,Fresno,Fresno-County,Ca,93726,289000.0,52.0,68.0,3.0,1.0,1028.0,Residential,1954.0,Active
5156 w griffith way,Fresno,Fresno-County,Ca,93722,350000.0,24.0,42.0,3.0,2.0,1131.0,Residential,1988.0,Active
991 e skylar ave,Fowler,Fresno-County,Ca,93625,470000.0,2.0,26.0,3.0,2.75,2258.0,Residential,2016.0,Active
6642 e buckeye ave,Fresno,Fresno-County,Ca,93727,394900.0,18.0,33.0,4.0,2.0,1675.0,Residential,2009.0,Active
5067 w sierra ave,Fresno,Fresno-County,Ca,93722,375000.0,23.0,55.0,3.0,2.0,1365.0,Residential,1992.0,Active
816 e normal ave,Fresno,Fresno-County,Ca,93704,420000.0,73.0,84.0,3.0,1.5,1514.0,Residential,1928.0,Active
5557 e eugenia ave,Fresno,Fresno-County,Ca,93727,405000.0,7.0,40.0,4.0,2.0,1773.0,Residential,2016.0,Active
365 n raphael ln,Clovis,Fresno-County,Ca,93611,330000.0,54.0,53.0,3.0,2.5,1658.0,Single family residence,2008.0,Active
47233 todd eymann rd,Miramonte,Fresno-County,Ca,93641,225000.0,0.0,0.0,2.0,2.0,1440.0,Residential,1981.0,Active
9224 e belmont ave,Sanger,Fresno-County,Ca,93657,425000.0,0.0,28.0,2.0,1.0,1188.0,Residential,1970.0,Active
19317 e parlier ave,Reedley,Fresno-County,Ca,93654,595000.0,23.0,43.0,2.0,1.0,1248.0,Residential,1936.0,Active
578 w mariposa st,Kingsburg,Fresno-County,Ca,93631,399900.0,17.0,31.0,3.0,2.0,1828.0,Residential,2005.0,Active
916 e grove ave,Fresno,Fresno-County,Ca,93706,190000.0,25.0,45.0,2.0,1.75,940.0,Residential,1951.0,Active
8831 e herndon ave,Clovis,Fresno-County,Ca,93619,600000.0,0.0,30.0,3.0,2.0,1468.0,Single family residence,1966.0,Active
8589 e mckenzie ave,Fresno,Fresno-County,Ca,93737,540000.0,1.0,31.0,4.0,2.0,2997.0,Residential,1969.0,Active
3274 e tenaya way,Fresno,Fresno-County,Ca,93710,420000.0,31.0,55.0,3.0,2.0,1834.0,Residential,1976.0,Active
1656 barstow ave,Clovis,Fresno-County,Ca,93611,385000.0,37.0,46.0,3.0,2.0,1268.0,Residential,1975.0,Active
3577 w menlo ave,Fresno,Fresno-County,Ca,93711,430000.0,25.0,53.0,3.0,2.0,1833.0,Residential,1992.0,Active
567 e scott ave,Fresno,Fresno-County,Ca,93710,360000.0,80.0,68.0,3.0,2.0,1214.0,Residential,1955.0,Active
5164 e ashlan ave #121,Fresno,Fresno-County,Ca,93727,225000.0,61.0,70.0,3.0,1.5,1295.0,Residential,1973.0,Active
14475 w e st,Kerman,Fresno-County,Ca,93630,315000.0,42.0,39.0,4.0,2.0,1272.0,Residential,1989.0,Active
1413 e via viola way,Fresno,Fresno-County,Ca,93730,519000.0,14.0,56.0,3.0,2.5,1962.0,Residential,2019.0,Active
3472 elevations way,Clovis,Fresno-County,Ca,93619,440000.0,11.0,28.0,3.0,2.5,1608.0,Residential,2014.0,Active
1265 n thorne ave,Fresno,Fresno-County,Ca,93728,295000.0,62.0,78.0,3.0,1.0,1210.0,Residential,1930.0,Active
7116 w san madele ave,Fresno,Fresno-County,Ca,93723,449900.0,2.0,26.0,4.0,2.0,1872.0,Residential,2009.0,Active
1956 wilson st,Selma,Fresno-County,Ca,93662,375000.0,65.0,50.0,4.0,2.0,2020.0,Residential,1920.0,Active
2935 e terrace ave,Fresno,Fresno-County,Ca,93703,289900.0,70.0,76.0,3.0,1.0,1163.0,Residential,1949.0,Active
1129 n glenn ave,Fresno,Fresno-County,Ca,93728,325000.0,83.0,67.0,3.0,2.0,1182.0,Single family residence,1925.0,Active
3378 n marty ave,Fresno,Fresno-County,Ca,93722,325000.0,24.0,51.0,3.0,2.0,1324.0,Residential,1990.0,Active
6350 n 4th st,Fresno,Fresno-County,Ca,93710,350000.0,38.0,54.0,3.0,2.0,1684.0,Residential,1967.0,Active
2054 calimyrna ave,Clovis,Fresno-County,Ca,93611,519900.0,19.0,34.0,4.0,3.0,1936.0,Residential,1965.0,Active
660 e lincoln ave,Fresno,Fresno-County,Ca,93706,450000.0,7.0,28.0,3.0,2.0,1360.0,Residential,1960.0,Active
929 e andrews ave,Fresno,Fresno-County,Ca,93704,239000.0,64.0,69.0,2.0,1.0,806.0,Residential,1942.0,Active
6025 n roosevelt ave,Fresno,Fresno-County,Ca,93704,449000.0,52.0,43.0,3.0,2.0,1645.0,Residential,1964.0,Active
244 n u st,Fresno,Fresno-County,Ca,93701,220000.0,79.0,76.0,3.0,1.0,1008.0,Residential,1915.0,Active
5844 e belmont ave,Fresno,Fresno-County,Ca,93727,420000.0,16.0,31.0,3.0,2.0,1735.0,Residential,1988.0,Active
6192 w san carlos ave,Fresno,Fresno-County,Ca,93723,385000.0,4.0,25.0,3.0,2.0,1451.0,Residential,2002.0,Active
5427 e kaviland ave,Fresno,Fresno-County,Ca,93727,439000.0,4.0,32.0,4.0,2.0,1692.0,Residential,2000.0,Active
2242 e alamos ave,Fresno,Fresno-County,Ca,93726,325000.0,79.0,59.0,4.0,2.0,1389.0,Residential,1956.0,Active
1161 5th ave s,Kingsburg,Fresno-County,Ca,93631,285000.0,50.0,42.0,3.0,2.0,1238.0,Residential,1986.0,Active
728 e cambridge ave,Fresno,Fresno-County,Ca,93704,390000.0,67.0,85.0,3.0,2.0,1516.0,Residential,1938.0,Active
3629 highclere way,Clovis,Fresno-County,Ca,93619,385000.0,9.0,48.0,3.0,2.5,1390.0,Residential,2019.0,Active
6767 n selland ave,Fresno,Fresno-County,Ca,93711,459000.0,42.0,45.0,4.0,2.0,2098.0,Residential,1978.0,Active
1578 buckingham ave,Clovis,Fresno-County,Ca,93611,404900.0,46.0,47.0,3.0,2.0,1609.0,Residential,1988.0,Active
350 s argyle ave #108,Fresno,Fresno-County,Ca,93727,199000.0,60.0,46.0,3.0,2.0,1150.0,Condo,1975.0,Active
278 amber ave,Clovis,Fresno-County,Ca,93611,499000.0,20.0,38.0,3.0,2.0,2086.0,Residential,1990.0,Active
42022 tollhouse road rd,Shaver lake,Fresno-County,Ca,93664,789500.0,43.0,36.0,4.0,3.0,2066.0,Residential,1945.0,Active
2682 whitmore ave,Clovis,Fresno-County,Ca,93619,610000.0,18.0,55.0,4.0,3.0,2491.0,Residential,2005.0,Active
3328 e alta ave,Fresno,Fresno-County,Ca,93702,255000.0,65.0,54.0,3.0,2.0,1344.0,Residential,1927.0,Active
479 e alluvial ave #101,Fresno,Fresno-County,Ca,93720,350000.0,56.0,81.0,2.0,2.0,1017.0,Single family residence,1988.0,Active
1012 e clinton ave,Fresno,Fresno-County,Ca,93704,290000.0,69.0,75.0,2.0,1.0,1344.0,Residential,1932.0,Active
152 w peace river dr,Fresno,Fresno-County,Ca,93711,749000.0,7.0,44.0,3.0,3.75,2796.0,Residential,1999.0,Active
1825 e cambridge ave,Fresno,Fresno-County,Ca,93703,299900.0,78.0,64.0,3.0,1.0,1480.0,Residential,1948.0,Active
2828 e fedora ave,Fresno,Fresno-County,Ca,93726,345000.0,58.0,68.0,3.0,2.0,1636.0,Residential,1959.0,Active
4653 w norwich ave,Fresno,Fresno-County,Ca,93722,335000.0,23.0,43.0,3.0,2.0,1465.0,Residential,1981.0,Active
7474 n tahan ave,Fresno,Fresno-County,Ca,93711,899000.0,15.0,55.0,4.0,3.5,4051.0,Residential,1984.0,Active
591 s arroyo ave,Fresno,Fresno-County,Ca,93727,400000.0,7.0,30.0,4.0,3.0,1979.0,Residential,2009.0,Active
3471 e springfield ave,Fresno,Fresno-County,Ca,93725,715000.0,0.0,30.0,3.0,2.0,1883.0,Residential,2006.0,Active
648 16th ct,Kerman,Fresno-County,Ca,93630,390000.0,19.0,33.0,4.0,2.0,1876.0,Residential,2002.0,Active
4769 e clay ave,Fresno,Fresno-County,Ca,93702,230000.0,67.0,66.0,2.0,1.0,1238.0,Residential,1940.0,Active
1190 s winery ave #139,Fresno,Fresno-County,Ca,93727,180000.0,63.0,74.0,2.0,1.0,919.0,Condo,1984.0,Active
851 e green acres dr,Fresno,Fresno-County,Ca,93720,484900.0,61.0,70.0,3.0,2.0,2060.0,Residential,2000.0,Active
1125 e saginaw way,Fresno,Fresno-County,Ca,93704,345000.0,62.0,60.0,3.0,2.0,1470.0,Residential,1955.0,Active
5645 w swift ave,Fresno,Fresno-County,Ca,93722,360000.0,8.0,31.0,3.0,2.0,1610.0,Residential,1997.0,Active
44455 hillcrest ave,Shaver lake,Fresno-County,Ca,93664,1995000.0,0.0,1.0,4.0,3.5,2700.0,Residential,1988.0,Active
2449 lombard ln,Clovis,Fresno-County,Ca,93619,430000.0,12.0,48.0,3.0,2.5,1900.0,Residential,2019.0,Active
486 w enterprise ave,Clovis,Fresno-County,Ca,93619,869000.0,18.0,63.0,5.0,3.0,3075.0,Residential,1998.0,Active
5483 w el paso ave,Fresno,Fresno-County,Ca,93722,400000.0,22.0,44.0,3.0,2.0,1594.0,Residential,1995.0,Active
2038 w calimyrna ave #101,Fresno,Fresno-County,Ca,93711,320000.0,65.0,58.0,2.0,2.0,1590.0,Condo,1975.0,Active
4919 n millbrook ave #104,Fresno,Fresno-County,Ca,93726,159999.0,62.0,71.0,1.0,1.0,795.0,Condo,1975.0,Active
1344 w henley creek rd,Reedley,Fresno-County,Ca,93654,360000.0,17.0,27.0,3.0,2.0,1519.0,Single family residence,1994.0,Active
2877 e decatur ave,Fresno,Fresno-County,Ca,93720,515000.0,60.0,68.0,5.0,3.0,2418.0,Residential,2005.0,Active
349 w fallbrook ave,Clovis,Fresno-County,Ca,93611,450000.0,38.0,59.0,3.0,2.5,2033.0,Residential,1991.0,Active
3959 n cheryl ave,Fresno,Fresno-County,Ca,93705,330000.0,47.0,64.0,3.0,1.75,1308.0,Residential,1964.0,Active
782 powers ave,Clovis,Fresno-County,Ca,93619,600000.0,7.0,52.0,3.0,2.0,1868.0,Residential,2006.0,Active
546 koleen ct,Kerman,Fresno-County,Ca,93630,375000.0,14.0,33.0,3.0,2.0,1435.0,Residential,1992.0,Active
3496 mayfair blvd,Fresno,Fresno-County,Ca,93703,290000.0,62.0,52.0,3.0,1.0,1285.0,Residential,1948.0,Active
5470 w huffman ave,Fresno,Fresno-County,Ca,93722,465000.0,2.0,25.0,4.0,2.5,2280.0,Residential,2019.0,Active
1431 george ave,Sanger,Fresno-County,Ca,93657,295000.0,25.0,35.0,3.0,2.0,1320.0,Residential,1963.0,Active
6338 n wilson ave,Fresno,Fresno-County,Ca,93704,374900.0,26.0,37.0,3.0,2.0,1720.0,Residential,1967.0,Active
2701 holland ave,Clovis,Fresno-County,Ca,93611,625000.0,9.0,40.0,5.0,3.0,2994.0,Residential,2004.0,Active
3762 friendship ln,Clovis,Fresno-County,Ca,93619,390000.0,9.0,30.0,3.0,2.75,1205.0,Residential,2017.0,Active
2401 e simpson,Fresno,Fresno-County,Ca,93703,319500.0,59.0,75.0,3.0,1.0,1166.0,Single family residence,1949.0,Active
5611 n feland ave,Fresno,Fresno-County,Ca,93711,425000.0,61.0,60.0,4.0,2.0,1944.0,Residential,1974.0,Active
1049 skylar ln,Clovis,Fresno-County,Ca,93619,595000.0,4.0,30.0,3.0,3.75,2316.0,Residential,2019.0,Active
332 warwick ave,Fresno,Fresno-County,Ca,93619,898000.0,8.0,43.0,5.0,3.0,2928.0,Residential,2004.0,Active
628 n thorne ave,Fresno,Fresno-County,Ca,93728,330000.0,63.0,73.0,5.0,3.0,2436.0,Multi family,1926.0,Active
1631 w magill ave,Fresno,Fresno-County,Ca,93711,499900.0,41.0,45.0,3.0,2.5,1890.0,Residential,1980.0,Active
3996 celeste ave,Clovis,Fresno-County,Ca,93619,475000.0,3.0,30.0,4.0,3.0,2044.0,Residential,2020.0,Active
3526 e home ave,Fresno,Fresno-County,Ca,93703,270000.0,62.0,53.0,2.0,1.0,1027.0,Residential,1946.0,Active
485 e alluvial ave #106,Fresno,Fresno-County,Ca,93720,370000.0,54.0,81.0,3.0,2.75,1655.0,Residential,1989.0,Backup
7222 n san pablo ave,Pinedale,Fresno-County,Ca,93650,219900.0,73.0,59.0,3.0,1.0,768.0,Residential,1940.0,Active
1724 wrenwood ave,Clovis,Fresno-County,Ca,93611,409900.0,28.0,45.0,3.0,2.0,1837.0,Residential,1977.0,Active
40844 mill run ln #34,Shaver lake,Fresno-County,Ca,93664,485000.0,0.0,6.0,3.0,2.0,1178.0,Condo,1978.0,Active
10594 e hanalei bay,Clovis,Fresno-County,Ca,93619,749000.0,3.0,30.0,4.0,3.0,3004.0,Residential,2005.0,Active
1845 w cornell ave,Fresno,Fresno-County,Ca,93705,294777.0,46.0,68.0,3.0,2.0,1318.0,Residential,1956.0,Active
1116 stephanie st,Selma,Fresno-County,Ca,93662,405000.0,17.0,30.0,4.0,2.0,1860.0,Residential,2010.0,Active
10582 s bethel ave,Selma,Fresno-County,Ca,93662,879900.0,0.0,25.0,4.0,3.0,2878.0,Residential,1990.0,Active
541 e fedora ave,Fresno,Fresno-County,Ca,93704,329000.0,37.0,54.0,2.0,2.0,1457.0,Residential,1946.0,Active
1027 w dakota #102,Fresno,Fresno-County,Ca,93705,155000.0,71.0,73.0,2.0,2.0,1046.0,Condo,1980.0,Active
7633 n meridian ave,Fresno,Fresno-County,Ca,93720,599999.0,47.0,76.0,4.0,2.5,2698.0,Residential,1991.0,Active
118 n fairbanks ave,Sanger,Fresno-County,Ca,93657,415000.0,70.0,67.0,4.0,2.0,1911.0,Residential,2006.0,Active
10474 e fieldstone ave,Clovis,Fresno-County,Ca,93619,575000.0,1.0,29.0,4.0,2.0,2344.0,Residential,2001.0,Active
4020 e dakota ave #204,Fresno,Fresno-County,Ca,93726,120000.0,39.0,70.0,2.0,2.0,744.0,Condo,1970.0,Active
5394 w peralta way,Fresno,Fresno-County,Ca,93722,429999.0,10.0,26.0,4.0,2.0,2167.0,Residential,2006.0,Active
620 n elise ln,Fresno,Fresno-County,Ca,93727,370000.0,9.0,32.0,3.0,2.5,1398.0,Residential,2021.0,Active
